ltable_id,rtable_id,label,block_id,entity_a,entity_b,entity_a_title,entity_b_title
0,1878,1,pack,title: clickart 950 000 premier image pack ( dvd-rom ); manufacturer: broderbund; price: nan,title: clickart 950000 premier image pack ( dvd-rom ); manufacturer: nan; price: 48.95,clickart 950 000 premier image pack ( dvd-rom ),clickart 950000 premier image pack ( dvd-rom )
142,1962,0,pack,title: ca brightstor arcserve backup r11 .1 for netware tape library option service pack; manufacturer: computer associates; price: nan,title: babwur1151s31 brightstor arcserve backup for windows agent for mac os xw/sp1 v. 11.5 -; manufacturer: nan; price: 194.34,ca brightstor arcserve backup r11 .1 for netware tape library option service pack,babwur1151s31 brightstor arcserve backup for windows agent for mac os xw/sp1 v. 11.5 -
211,2512,0,pack,title: microsoft entertainment pack ce; manufacturer: microsoft; price: 49.5,title: topics entertainment cs-50613 snap ! 8 player poker 5 pack; manufacturer: nan; price: 18.99,microsoft entertainment pack ce,topics entertainment cs-50613 snap ! 8 player poker 5 pack
248,1720,0,pack,title: microsoft windows small business server cal 2003 license pack 20 client addpack device; manufacturer: microsoft software; price: nan,title: 4px-00078 microsoft system center essentials 2007 license 20 clients win english; manufacturer: nan; price: 379.43,microsoft windows small business server cal 2003 license pack 20 client addpack device,4px-00078 microsoft system center essentials 2007 license 20 clients win english
392,1878,0,pack,title: clifford reading pack ( dvd box ); manufacturer: scholastic; price: 19.99,title: clickart 950000 premier image pack ( dvd-rom ); manufacturer: nan; price: 48.95,clifford reading pack ( dvd box ),clickart 950000 premier image pack ( dvd-rom )
460,2512,1,pack,title: snap ! 8 player poker 5 pack; manufacturer: topics entertainment; price: 29.06,title: topics entertainment cs-50613 snap ! 8 player poker 5 pack; manufacturer: nan; price: 18.99,snap ! 8 player poker 5 pack,topics entertainment cs-50613 snap ! 8 player poker 5 pack
531,1720,0,pack,title: microsoft windows server 2003 client additional license for users-5 pack; manufacturer: microsoft; price: 809.0,title: 4px-00078 microsoft system center essentials 2007 license 20 clients win english; manufacturer: nan; price: 379.43,microsoft windows server 2003 client additional license for users-5 pack,4px-00078 microsoft system center essentials 2007 license 20 clients win english
580,1823,0,pack,title: quickbooks premier edition 2007 5 user multi-pack; manufacturer: intuit; price: 1499.95,title: 299530 quickbooks premier nonprofit edition 2007 complete package 1 user cd win; manufacturer: nan; price: 344.58,quickbooks premier edition 2007 5 user multi-pack,299530 quickbooks premier nonprofit edition 2007 complete package 1 user cd win
26,2393,0,premieremier,title: adobe premiere pro cs3 upgrade; manufacturer: adobe; price: 299.0,title: adobe production premium cs3 software suite for mac av production software; manufacturer: nan; price: 1698.95,adobe premiere pro cs3 upgrade,adobe production premium cs3 software suite for mac av production software
157,1735,0,premieremier,title: adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ); manufacturer: adobe systems inc; price: nan,title: 98741h mobile phonetools v. 4.0 complete package 1 user cd win; manufacturer: nan; price: 18.59,adobe photoshop elements 4.0 plus adobe premiere elements 2.0 complete package 1 user cd mini-box win canadian french 29180162 ),98741h mobile phonetools v. 4.0 complete package 1 user cd win
620,2393,0,premieremier,title: adobe premiere pro cs3; manufacturer: adobe; price: 799.0,title: adobe production premium cs3 software suite for mac av production software; manufacturer: nan; price: 1698.95,adobe premiere pro cs3,adobe production premium cs3 software suite for mac av production software
