ltable_id,rtable_id,label,block_id,entity_a,entity_b,entity_a_title,entity_b_title,sub_block_id,sub_block_size
15,2141,0,0,title: omnioutliner professional 3.0; manufacturer: csdc; price: 69.95,title: system mechanic 6 professional; manufacturer: nan; price: 36.9,omnioutliner professional 3.0,system mechanic 6 professional,0_0,6
15,2144,0,0,title: omnioutliner professional 3.0; manufacturer: csdc; price: 69.95,title: individual software prm-r12 resumemaker professional 12.0; manufacturer: individual software; price: 29.99,omnioutliner professional 3.0,individual software prm-r12 resumemaker professional 12.0,0_0,6
135,2513,0,0,title: microsoft crm professional cal 3.0 product upgrade license pack user cal; manufacturer: microsoft software; price: 9980.0,title: microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ); manufacturer: microsoft; price: 688.99,microsoft crm professional cal 3.0 product upgrade license pack user cal,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),0_0,6
145,1843,0,0,title: microsoft virtual pc for mac 7.0 with windows 2000; manufacturer: microsoft; price: 249.99,title: s65-00393 microsoft virtual pc for mac v. 7.0 w / windows 2000 complete package -; manufacturer: nan; price: 238.48,microsoft virtual pc for mac 7.0 with windows 2000,s65-00393 microsoft virtual pc for mac v. 7.0 w / windows 2000 complete package -,0_0,6
171,2474,0,0,title: microsoft licenses word mac 10.0 eng govt ( d4800369 ); manufacturer: microsoft licenses; price: 349.83,title: word mac 2004 upgrade microsoft d48-00488; manufacturer: nan; price: 97.36,microsoft licenses word mac 10.0 eng govt ( d4800369 ),word mac 2004 upgrade microsoft d48-00488,0_0,6
171,3091,0,0,title: microsoft licenses word mac 10.0 eng govt ( d4800369 ); manufacturer: microsoft licenses; price: 349.83,title: microsoft ( r ) word 2007; manufacturer: nan; price: 109.99,microsoft licenses word mac 10.0 eng govt ( d4800369 ),microsoft ( r ) word 2007,0_0,6
233,3154,0,0,title: photo explosion deluxe 3.0; manufacturer: nova development; price: 49.99,title: photoshow deluxe; manufacturer: nan; price: 39.92,photo explosion deluxe 3.0,photoshow deluxe,0_1,6
250,2154,1,0,title: adobe after effects professional 7.0; manufacturer: adobe; price: 999.0,title: adobe after effects professional 7 software for windows effects software; manufacturer: nan; price: 999.0,adobe after effects professional 7.0,adobe after effects professional 7 software for windows effects software,0_1,6
251,2513,0,0,title: microsoft crm small business ed cal 3.0 license pack user cal; manufacturer: microsoft software; price: 9929.0,title: microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ); manufacturer: microsoft; price: 688.99,microsoft crm small business ed cal 3.0 license pack user cal,microsoft r18-00908 windows server 2003 client access license 20-pack ( per user ),0_1,6
263,2162,0,0,title: symantec mail security for smtp 5.0 smb av cd 5u gov; manufacturer: symantec; price: nan,title: symantec norton internet security 3.0 software for macintosh apple & mac software; manufacturer: nan; price: 89.95,symantec mail security for smtp 5.0 smb av cd 5u gov,symantec norton internet security 3.0 software for macintosh apple & mac software,0_1,6
270,2141,0,0,title: adobe acrobat 7.0 professional; manufacturer: adobe; price: 449.99,title: system mechanic 6 professional; manufacturer: nan; price: 36.9,adobe acrobat 7.0 professional,system mechanic 6 professional,0_1,6
